User Query,Action,Amount,Recipient
Pay my rent bill,Pay bill,1931.0,rent
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
I want to borrow 49800 ZAR,Apply for loan,49800.0,
Check my loan status,Check loan,,
I need to pay 3417 ZAR for my rent,Pay bill,3417.0,rent
Can I get a loan for 6371 ZAR?,Apply for loan,6371.0,
Move 8058 ZAR to investment,Transfer money,8058.0,investment
Send 2419 ZAR to Jane,Send money,2419.0,Jane
I want to send 8083 ZAR to Mike,Send money,8083.0,Mike
Send 2075 ZAR to savings,Transfer money,2075.0,savings
What is my current balance?,Check balance,,
Pay 323 ZAR for water,Pay bill,323.0,water
I need to pay 2020 ZAR for my internet,Pay bill,2020.0,internet
Transfer 4553 ZAR to my checking,Transfer money,4553.0,checking
Send 1627 ZAR to checking,Transfer money,1627.0,checking
Check my balance,Check balance,,
Pay 1339 ZAR for water,Pay bill,1339.0,water
I want to send 61 ZAR to David,Send money,61.0,David
Send 6876 ZAR to investment,Transfer money,6876.0,investment
Check my balance,Check balance,,
Move 9333 ZAR to checking,Transfer money,9333.0,checking
Apply for a loan of 23822 ZAR,Apply for loan,23822.0,
Transfer 4814 ZAR to my investment,Transfer money,4814.0,investment
I want to borrow 47404 ZAR,Apply for loan,47404.0,
What is my loan balance?,Check loan,,
Transfer 5341 ZAR to my checking,Transfer money,5341.0,checking
Check my loan status,Check loan,,
Send 895 ZAR to savings,Transfer money,895.0,savings
Check my balance,Check balance,,
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
Transfer 2338 ZAR to David,Send money,2338.0,David
I want to borrow 35109 ZAR,Apply for loan,35109.0,
Transfer 8180 ZAR to my checking,Transfer money,8180.0,checking
Apply for a loan of 15190 ZAR,Apply for loan,15190.0,
What is my loan balance?,Check loan,,
I need to pay 641 ZAR for my rent,Pay bill,641.0,rent
I want to send 9948 ZAR to David,Send money,9948.0,David
Transfer 9114 ZAR to my investment,Transfer money,9114.0,investment
I need to pay 201 ZAR for my phone,Pay bill,201.0,phone
Move 2898 ZAR to checking,Transfer money,2898.0,checking
Pay 3359 ZAR for internet,Pay bill,3359.0,internet
What is my loan balance?,Check loan,,
Pay my rent bill,Pay bill,497.0,rent
Transfer 1926 ZAR to my investment,Transfer money,1926.0,investment
How much do I owe on my loan?,Check loan,,
I need to pay 4903 ZAR for my internet,Pay bill,4903.0,internet
Move 1526 ZAR to checking,Transfer money,1526.0,checking
I want to send 8389 ZAR to Jane,Send money,8389.0,Jane
I need to pay 493 ZAR for my phone,Pay bill,493.0,phone
Send 5392 ZAR to Emma,Send money,5392.0,Emma
Move 2326 ZAR to investment,Transfer money,2326.0,investment
Pay my internet bill,Pay bill,256.0,internet
I want to send 6523 ZAR to Emma,Send money,6523.0,Emma
Can I get a loan for 22694 ZAR?,Apply for loan,22694.0,
Send 3816 ZAR to Emma,Send money,3816.0,Emma
What is my current balance?,Check balance,,
Check my loan status,Check loan,,
Can I get a loan for 33660 ZAR?,Apply for loan,33660.0,
I need to pay 3161 ZAR for my water,Pay bill,3161.0,water
Pay my electricity bill,Pay bill,1384.0,electricity
How much do I owe on my loan?,Check loan,,
Transfer 7013 ZAR to David,Send money,7013.0,David
Check my balance,Check balance,,
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
Apply for a loan of 34158 ZAR,Apply for loan,34158.0,
What is my current balance?,Check balance,,
Pay my phone bill,Pay bill,2633.0,phone
Send 7173 ZAR to John,Send money,7173.0,John
How much money do I have?,Check balance,,
I want to borrow 32454 ZAR,Apply for loan,32454.0,
I want to borrow 8735 ZAR,Apply for loan,8735.0,
I want to send 3547 ZAR to Mike,Send money,3547.0,Mike
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
Send 5272 ZAR to John,Send money,5272.0,John
Send 7252 ZAR to investment,Transfer money,7252.0,investment
Transfer 4072 ZAR to my checking,Transfer money,4072.0,checking
Can I get a loan for 45700 ZAR?,Apply for loan,45700.0,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
Transfer 1078 ZAR to Sarah,Send money,1078.0,Sarah
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
Can I get a loan for 21255 ZAR?,Apply for loan,21255.0,
Transfer 1750 ZAR to my savings,Transfer money,1750.0,savings
Apply for a loan of 19499 ZAR,Apply for loan,19499.0,
Transfer 9889 ZAR to David,Send money,9889.0,David
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Transfer 8243 ZAR to Mike,Send money,8243.0,Mike
Transfer 3099 ZAR to Jane,Send money,3099.0,Jane
Send 4622 ZAR to checking,Transfer money,4622.0,checking
Transfer 4682 ZAR to Sarah,Send money,4682.0,Sarah
How much do I owe on my loan?,Check loan,,
Move 3901 ZAR to savings,Transfer money,3901.0,savings
I want to borrow 48440 ZAR,Apply for loan,48440.0,
What is my loan balance?,Check loan,,
Transfer 9142 ZAR to Jane,Send money,9142.0,Jane
Transfer 8980 ZAR to my checking,Transfer money,8980.0,checking
Transfer 9213 ZAR to Mike,Send money,9213.0,Mike
Transfer 2795 ZAR to my savings,Transfer money,2795.0,savings
Can I get a loan for 29512 ZAR?,Apply for loan,29512.0,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
Send 431 ZAR to checking,Transfer money,431.0,checking
Check my loan status,Check loan,,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
What is my current balance?,Check balance,,
I want to send 3519 ZAR to Sarah,Send money,3519.0,Sarah
Apply for a loan of 24232 ZAR,Apply for loan,24232.0,
Apply for a loan of 11763 ZAR,Apply for loan,11763.0,
What is my loan balance?,Check loan,,
Transfer 5957 ZAR to Mike,Send money,5957.0,Mike
What is my loan balance?,Check loan,,
Pay 4363 ZAR for phone,Pay bill,4363.0,phone
Check my balance,Check balance,,
Pay my internet bill,Pay bill,770.0,internet
Can I get a loan for 44988 ZAR?,Apply for loan,44988.0,
Check my balance,Check balance,,
I want to borrow 7044 ZAR,Apply for loan,7044.0,
I want to borrow 11588 ZAR,Apply for loan,11588.0,
Send 6549 ZAR to Mike,Send money,6549.0,Mike
I need to pay 2772 ZAR for my water,Pay bill,2772.0,water
Check my balance,Check balance,,
I want to send 4257 ZAR to Jane,Send money,4257.0,Jane
Check my balance,Check balance,,
Send 1962 ZAR to checking,Transfer money,1962.0,checking
Send 9981 ZAR to checking,Transfer money,9981.0,checking
Can I get a loan for 32915 ZAR?,Apply for loan,32915.0,
I want to borrow 37671 ZAR,Apply for loan,37671.0,
Apply for a loan of 22594 ZAR,Apply for loan,22594.0,
Send 8738 ZAR to Mike,Send money,8738.0,Mike
I want to send 3252 ZAR to Sarah,Send money,3252.0,Sarah
Send 8126 ZAR to Mike,Send money,8126.0,Mike
Pay my phone bill,Pay bill,3590.0,phone
Transfer 7301 ZAR to my investment,Transfer money,7301.0,investment
How much do I owe on my loan?,Check loan,,
Transfer 5999 ZAR to David,Send money,5999.0,David
Can I get a loan for 36566 ZAR?,Apply for loan,36566.0,
Can I get a loan for 44551 ZAR?,Apply for loan,44551.0,
Pay 3043 ZAR for rent,Pay bill,3043.0,rent
Check my loan status,Check loan,,
Send 2530 ZAR to John,Send money,2530.0,John
Transfer 6419 ZAR to John,Send money,6419.0,John
What is my loan balance?,Check loan,,
Apply for a loan of 28129 ZAR,Apply for loan,28129.0,
Pay my internet bill,Pay bill,977.0,internet
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
I need to pay 4823 ZAR for my electricity,Pay bill,4823.0,electricity
Pay 3537 ZAR for water,Pay bill,3537.0,water
I need to pay 806 ZAR for my water,Pay bill,806.0,water
Pay my internet bill,Pay bill,661.0,internet
Pay my rent bill,Pay bill,2541.0,rent
Apply for a loan of 35881 ZAR,Apply for loan,35881.0,
Pay 3283 ZAR for rent,Pay bill,3283.0,rent
I need to pay 242 ZAR for my internet,Pay bill,242.0,internet
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
Pay my internet bill,Pay bill,545.0,internet
Transfer 2557 ZAR to Sarah,Send money,2557.0,Sarah
What is my loan balance?,Check loan,,
Pay 2479 ZAR for electricity,Pay bill,2479.0,electricity
Transfer 3142 ZAR to my savings,Transfer money,3142.0,savings
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
Apply for a loan of 21312 ZAR,Apply for loan,21312.0,
Send 6611 ZAR to savings,Transfer money,6611.0,savings
Check my loan status,Check loan,,
Can I get a loan for 11737 ZAR?,Apply for loan,11737.0,
I want to borrow 20514 ZAR,Apply for loan,20514.0,
Can I get a loan for 19368 ZAR?,Apply for loan,19368.0,
Check my balance,Check balance,,
Move 641 ZAR to checking,Transfer money,641.0,checking
Pay my water bill,Pay bill,452.0,water
How much money do I have?,Check balance,,
Can I get a loan for 6547 ZAR?,Apply for loan,6547.0,
Send 6312 ZAR to Mike,Send money,6312.0,Mike
I need to pay 4726 ZAR for my internet,Pay bill,4726.0,internet
I want to borrow 27697 ZAR,Apply for loan,27697.0,
Send 1812 ZAR to Sarah,Send money,1812.0,Sarah
Transfer 7095 ZAR to David,Send money,7095.0,David
What is my current balance?,Check balance,,
Move 5180 ZAR to investment,Transfer money,5180.0,investment
Pay 240 ZAR for rent,Pay bill,240.0,rent
Pay 1535 ZAR for internet,Pay bill,1535.0,internet
Transfer 8875 ZAR to my investment,Transfer money,8875.0,investment
Can I get a loan for 27347 ZAR?,Apply for loan,27347.0,
I want to send 1283 ZAR to David,Send money,1283.0,David
Transfer 3813 ZAR to my savings,Transfer money,3813.0,savings
Transfer 3789 ZAR to Jane,Send money,3789.0,Jane
What is my current balance?,Check balance,,
What is my current balance?,Check balance,,
Send 4868 ZAR to investment,Transfer money,4868.0,investment
What is my current balance?,Check balance,,
Transfer 7200 ZAR to my savings,Transfer money,7200.0,savings
Check my loan status,Check loan,,
Send 6873 ZAR to checking,Transfer money,6873.0,checking
I need to pay 1094 ZAR for my water,Pay bill,1094.0,water
Transfer 9397 ZAR to Sarah,Send money,9397.0,Sarah
Apply for a loan of 41306 ZAR,Apply for loan,41306.0,
Move 1521 ZAR to savings,Transfer money,1521.0,savings
What is my current balance?,Check balance,,
How much do I owe on my loan?,Check loan,,
I want to send 5312 ZAR to David,Send money,5312.0,David
Send 4700 ZAR to Emma,Send money,4700.0,Emma
Send 4610 ZAR to Jane,Send money,4610.0,Jane
Move 3269 ZAR to savings,Transfer money,3269.0,savings
What is my current balance?,Check balance,,
I want to send 7354 ZAR to Emma,Send money,7354.0,Emma
Apply for a loan of 37950 ZAR,Apply for loan,37950.0,
Transfer 2505 ZAR to my savings,Transfer money,2505.0,savings
Send 2564 ZAR to checking,Transfer money,2564.0,checking
Transfer 3888 ZAR to my checking,Transfer money,3888.0,checking
Send 1010 ZAR to Emma,Send money,1010.0,Emma
How much money do I have?,Check balance,,
I want to send 396 ZAR to Mike,Send money,396.0,Mike
I want to send 2620 ZAR to Sarah,Send money,2620.0,Sarah
I want to send 2008 ZAR to Mike,Send money,2008.0,Mike
Move 705 ZAR to investment,Transfer money,705.0,investment
Check my loan status,Check loan,,
Apply for a loan of 43318 ZAR,Apply for loan,43318.0,
Send 4157 ZAR to savings,Transfer money,4157.0,savings
Can I get a loan for 38183 ZAR?,Apply for loan,38183.0,
Transfer 6989 ZAR to David,Send money,6989.0,David
How much money do I have?,Check balance,,
Check my balance,Check balance,,
How much money do I have?,Check balance,,
I want to borrow 29455 ZAR,Apply for loan,29455.0,
Send 3779 ZAR to investment,Transfer money,3779.0,investment
How much money do I have?,Check balance,,
Apply for a loan of 11726 ZAR,Apply for loan,11726.0,
Pay my phone bill,Pay bill,2036.0,phone
How much do I owe on my loan?,Check loan,,
I need to pay 3595 ZAR for my electricity,Pay bill,3595.0,electricity
Send 1345 ZAR to John,Send money,1345.0,John
What is my current balance?,Check balance,,
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
Move 3813 ZAR to checking,Transfer money,3813.0,checking
Check my loan status,Check loan,,
Can I get a loan for 29364 ZAR?,Apply for loan,29364.0,
Transfer 1062 ZAR to Sarah,Send money,1062.0,Sarah
Can I get a loan for 42829 ZAR?,Apply for loan,42829.0,
I want to borrow 30715 ZAR,Apply for loan,30715.0,
Transfer 5663 ZAR to Jane,Send money,5663.0,Jane
Transfer 5417 ZAR to David,Send money,5417.0,David
Apply for a loan of 14683 ZAR,Apply for loan,14683.0,
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
What is my loan balance?,Check loan,,
What is my loan balance?,Check loan,,
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
Transfer 9111 ZAR to my savings,Transfer money,9111.0,savings
Send 1792 ZAR to Emma,Send money,1792.0,Emma
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
What is my current balance?,Check balance,,
Transfer 8709 ZAR to Jane,Send money,8709.0,Jane
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
Pay 2248 ZAR for electricity,Pay bill,2248.0,electricity
Move 2020 ZAR to savings,Transfer money,2020.0,savings
Send 3436 ZAR to Sarah,Send money,3436.0,Sarah
I need to pay 2651 ZAR for my electricity,Pay bill,2651.0,electricity
Move 8866 ZAR to investment,Transfer money,8866.0,investment
Can I get a loan for 31683 ZAR?,Apply for loan,31683.0,
Move 6355 ZAR to investment,Transfer money,6355.0,investment
Check my balance,Check balance,,
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
Check my loan status,Check loan,,
Send 9093 ZAR to investment,Transfer money,9093.0,investment
Apply for a loan of 45880 ZAR,Apply for loan,45880.0,
I need to pay 2745 ZAR for my internet,Pay bill,2745.0,internet
Move 8840 ZAR to investment,Transfer money,8840.0,investment
What is my current balance?,Check balance,,
Pay my water bill,Pay bill,1535.0,water
Send 482 ZAR to investment,Transfer money,482.0,investment
Move 7884 ZAR to investment,Transfer money,7884.0,investment
Check my balance,Check balance,,
Check my balance,Check balance,,
Send 1323 ZAR to Jane,Send money,1323.0,Jane
Send 7344 ZAR to investment,Transfer money,7344.0,investment
What is my current balance?,Check balance,,
Transfer 2667 ZAR to Jane,Send money,2667.0,Jane
Pay 3314 ZAR for electricity,Pay bill,3314.0,electricity
Check my balance,Check balance,,
What is my loan balance?,Check loan,,
Pay my phone bill,Pay bill,2551.0,phone
Check my balance,Check balance,,
Apply for a loan of 42700 ZAR,Apply for loan,42700.0,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
I want to borrow 6954 ZAR,Apply for loan,6954.0,
I want to borrow 27618 ZAR,Apply for loan,27618.0,
I want to borrow 9670 ZAR,Apply for loan,9670.0,
Pay 3047 ZAR for internet,Pay bill,3047.0,internet
Can I get a loan for 42184 ZAR?,Apply for loan,42184.0,
Transfer 6438 ZAR to Emma,Send money,6438.0,Emma
Transfer 5327 ZAR to my investment,Transfer money,5327.0,investment
Send 578 ZAR to David,Send money,578.0,David
What is my loan balance?,Check loan,,
Pay my phone bill,Pay bill,952.0,phone
Transfer 7970 ZAR to David,Send money,7970.0,David
Transfer 3734 ZAR to my savings,Transfer money,3734.0,savings
I want to borrow 28518 ZAR,Apply for loan,28518.0,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
I want to borrow 39488 ZAR,Apply for loan,39488.0,
What is my loan balance?,Check loan,,
I need to pay 3315 ZAR for my rent,Pay bill,3315.0,rent
Send 8064 ZAR to savings,Transfer money,8064.0,savings
What is my current balance?,Check balance,,
Check my balance,Check balance,,
Pay my rent bill,Pay bill,3984.0,rent
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Send 9955 ZAR to Emma,Send money,9955.0,Emma
How much do I owe on my loan?,Check loan,,
I need to pay 2456 ZAR for my water,Pay bill,2456.0,water
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
Apply for a loan of 14265 ZAR,Apply for loan,14265.0,
How much do I owe on my loan?,Check loan,,
Pay my internet bill,Pay bill,2720.0,internet
How much money do I have?,Check balance,,
Apply for a loan of 7450 ZAR,Apply for loan,7450.0,
I need to pay 834 ZAR for my internet,Pay bill,834.0,internet
What is my current balance?,Check balance,,
Pay 4349 ZAR for internet,Pay bill,4349.0,internet
I want to send 7244 ZAR to David,Send money,7244.0,David
Send 7662 ZAR to Sarah,Send money,7662.0,Sarah
What is my current balance?,Check balance,,
Transfer 2311 ZAR to Sarah,Send money,2311.0,Sarah
Pay my electricity bill,Pay bill,998.0,electricity
Send 5794 ZAR to savings,Transfer money,5794.0,savings
Pay my phone bill,Pay bill,1866.0,phone
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Apply for a loan of 17250 ZAR,Apply for loan,17250.0,
I need to pay 3134 ZAR for my internet,Pay bill,3134.0,internet
What is my current balance?,Check balance,,
Check my balance,Check balance,,
What is my current balance?,Check balance,,
What is my loan balance?,Check loan,,
Pay my internet bill,Pay bill,3696.0,internet
What is my current balance?,Check balance,,
I want to send 7141 ZAR to Jane,Send money,7141.0,Jane
Can I get a loan for 12835 ZAR?,Apply for loan,12835.0,
Can I get a loan for 7577 ZAR?,Apply for loan,7577.0,
Apply for a loan of 20329 ZAR,Apply for loan,20329.0,
Move 7085 ZAR to savings,Transfer money,7085.0,savings
Transfer 4726 ZAR to Jane,Send money,4726.0,Jane
Pay my phone bill,Pay bill,1030.0,phone
I need to pay 273 ZAR for my water,Pay bill,273.0,water
Check my loan status,Check loan,,
Transfer 3692 ZAR to Emma,Send money,3692.0,Emma
Transfer 3343 ZAR to Emma,Send money,3343.0,Emma
Pay 517 ZAR for water,Pay bill,517.0,water
Pay my rent bill,Pay bill,1309.0,rent
I need to pay 2745 ZAR for my internet,Pay bill,2745.0,internet
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
Can I get a loan for 14924 ZAR?,Apply for loan,14924.0,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
I want to send 3758 ZAR to Sarah,Send money,3758.0,Sarah
What is my current balance?,Check balance,,
Can I get a loan for 45055 ZAR?,Apply for loan,45055.0,
Pay 4326 ZAR for rent,Pay bill,4326.0,rent
Apply for a loan of 25201 ZAR,Apply for loan,25201.0,
I need to pay 1013 ZAR for my rent,Pay bill,1013.0,rent
Pay my rent bill,Pay bill,2973.0,rent
I need to pay 1057 ZAR for my internet,Pay bill,1057.0,internet
Transfer 8770 ZAR to David,Send money,8770.0,David
Pay 3292 ZAR for water,Pay bill,3292.0,water
Apply for a loan of 43520 ZAR,Apply for loan,43520.0,
Transfer 2346 ZAR to David,Send money,2346.0,David
I need to pay 785 ZAR for my rent,Pay bill,785.0,rent
Check my loan status,Check loan,,
Send 5713 ZAR to John,Send money,5713.0,John
What is my current balance?,Check balance,,
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Can I get a loan for 2926 ZAR?,Apply for loan,2926.0,
Transfer 8623 ZAR to my checking,Transfer money,8623.0,checking
Move 6510 ZAR to savings,Transfer money,6510.0,savings
Transfer 427 ZAR to Jane,Send money,427.0,Jane
Pay my internet bill,Pay bill,3388.0,internet
How much money do I have?,Check balance,,
Send 4187 ZAR to Sarah,Send money,4187.0,Sarah
Send 2069 ZAR to Emma,Send money,2069.0,Emma
Check my loan status,Check loan,,
Send 3860 ZAR to investment,Transfer money,3860.0,investment
Apply for a loan of 31372 ZAR,Apply for loan,31372.0,
Check my balance,Check balance,,
How much do I owe on my loan?,Check loan,,
Apply for a loan of 2869 ZAR,Apply for loan,2869.0,
Check my loan status,Check loan,,
I want to borrow 31934 ZAR,Apply for loan,31934.0,
I need to pay 4661 ZAR for my electricity,Pay bill,4661.0,electricity
Transfer 5899 ZAR to Sarah,Send money,5899.0,Sarah
Pay my rent bill,Pay bill,3365.0,rent
Check my loan status,Check loan,,
Pay 1698 ZAR for internet,Pay bill,1698.0,internet
I need to pay 1407 ZAR for my internet,Pay bill,1407.0,internet
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
Apply for a loan of 4606 ZAR,Apply for loan,4606.0,
What is my current balance?,Check balance,,
I want to borrow 13254 ZAR,Apply for loan,13254.0,
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
Pay my electricity bill,Pay bill,4912.0,electricity
Send 4885 ZAR to Sarah,Send money,4885.0,Sarah
How much do I owe on my loan?,Check loan,,
Can I get a loan for 28788 ZAR?,Apply for loan,28788.0,
I want to send 9905 ZAR to Emma,Send money,9905.0,Emma
Check my balance,Check balance,,
I want to borrow 42663 ZAR,Apply for loan,42663.0,
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
I need to pay 4882 ZAR for my electricity,Pay bill,4882.0,electricity
Transfer 645 ZAR to my investment,Transfer money,645.0,investment
Pay 2216 ZAR for phone,Pay bill,2216.0,phone
I want to borrow 2684 ZAR,Apply for loan,2684.0,
Pay 1285 ZAR for phone,Pay bill,1285.0,phone
Pay my water bill,Pay bill,620.0,water
I want to borrow 29831 ZAR,Apply for loan,29831.0,
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
Move 7706 ZAR to investment,Transfer money,7706.0,investment
Pay 3073 ZAR for phone,Pay bill,3073.0,phone
Send 9042 ZAR to Sarah,Send money,9042.0,Sarah
Check my balance,Check balance,,
Check my balance,Check balance,,
Pay my phone bill,Pay bill,1517.0,phone
Check my loan status,Check loan,,
How much money do I have?,Check balance,,
Send 3156 ZAR to investment,Transfer money,3156.0,investment
Pay my internet bill,Pay bill,1298.0,internet
Move 4664 ZAR to investment,Transfer money,4664.0,investment
Transfer 3704 ZAR to my savings,Transfer money,3704.0,savings
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
Move 1477 ZAR to checking,Transfer money,1477.0,checking
Check my balance,Check balance,,
Check my loan status,Check loan,,
I need to pay 801 ZAR for my rent,Pay bill,801.0,rent
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
Can I get a loan for 9366 ZAR?,Apply for loan,9366.0,
Check my loan status,Check loan,,
I want to borrow 27525 ZAR,Apply for loan,27525.0,
Move 1183 ZAR to savings,Transfer money,1183.0,savings
Send 2149 ZAR to John,Send money,2149.0,John
What is my loan balance?,Check loan,,
I want to borrow 22725 ZAR,Apply for loan,22725.0,
Transfer 8704 ZAR to my checking,Transfer money,8704.0,checking
What is my loan balance?,Check loan,,
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
Pay 1485 ZAR for internet,Pay bill,1485.0,internet
Check my balance,Check balance,,
Pay my rent bill,Pay bill,1490.0,rent
Pay my electricity bill,Pay bill,4674.0,electricity
Can I get a loan for 9435 ZAR?,Apply for loan,9435.0,
Send 5896 ZAR to John,Send money,5896.0,John
What is my current balance?,Check balance,,
Send 4993 ZAR to Jane,Send money,4993.0,Jane
I want to send 5959 ZAR to Emma,Send money,5959.0,Emma
Send 5553 ZAR to checking,Transfer money,5553.0,checking
Pay 1653 ZAR for phone,Pay bill,1653.0,phone
Move 3476 ZAR to investment,Transfer money,3476.0,investment
How much do I owe on my loan?,Check loan,,
Transfer 880 ZAR to Emma,Send money,880.0,Emma
I need to pay 2030 ZAR for my phone,Pay bill,2030.0,phone
Send 4524 ZAR to John,Send money,4524.0,John
Check my balance,Check balance,,
What is my loan balance?,Check loan,,
Check my loan status,Check loan,,
Can I get a loan for 28071 ZAR?,Apply for loan,28071.0,
Can I get a loan for 15037 ZAR?,Apply for loan,15037.0,
How much do I owe on my loan?,Check loan,,
Can I get a loan for 40717 ZAR?,Apply for loan,40717.0,
Can I get a loan for 4117 ZAR?,Apply for loan,4117.0,
Check my balance,Check balance,,
